icao24,registration,airline,iata,model,last_flight,idle_days,status,04-07,05-07,06-07,07-07,08-07,09-07,10-07
88084e,HS-BBN,Thai AirAsia,FD,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
88084f,HS-BBO,Thai AirAsia,FD,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880850,HS-BBP,Thai AirAsia,FD,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880851,HS-BBQ,Thai AirAsia,FD,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880852,HS-BBR,Thai AirAsia,FD,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880853,HS-BBS,Thai AirAsia,FD,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880854,HS-BBT,Thai AirAsia,FD,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880855,HS-BBU,Thai AirAsia,FD,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880856,HS-BBV,Thai AirAsia,FD,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880857,HS-BBW,Thai AirAsia,FD,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880858,HS-BBX,Thai AirAsia,FD,A320 251NSL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880859,HS-BBY,Thai AirAsia,FD,A320 251NSL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
88085a,HS-BBZ,Thai AirAsia,FD,A320 251NSL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880c41,HS-CBA,Thai AirAsia,FD,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880c42,HS-CBB,Thai AirAsia,FD,A320 251NSL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
880c4a,HS-CBJ,Thai AirAsia,FD,A320-251N,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
886289,HS-XTI,Thai AirAsia X,XJ,A330-343 ,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
8a017c,PK-AXD,Indonesia AirAsia,QZ,A320 214,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
8a018c,PK-AXE,Indonesia AirAsia,QZ,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
8a01ba,PK-AXF,Indonesia AirAsia,QZ,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
8a01bb,PK-AXG,Indonesia AirAsia,QZ,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
8a01c9,PK-AXH,Indonesia AirAsia,QZ,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
8a01e2,PK-AXI,Indonesia AirAsia,QZ,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
8a01fe,PK-AXJ,Indonesia AirAsia,QZ,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
8a02a8,PK-AXR,Indonesia AirAsia,QZ,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
8a02b0,PK-AXS,Indonesia AirAsia,QZ,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
8a02ca,PK-AXT,Indonesia AirAsia,QZ,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
8a02cb,PK-AXU,Indonesia AirAsia,QZ,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
8a02d2,PK-AXV,Indonesia AirAsia,QZ,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
8a0320,PK-AXX,Indonesia AirAsia,QZ,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
8a036b,PK-AXY,Indonesia AirAsia,QZ,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
8a0394,PK-AZA,Indonesia AirAsia,QZ,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
8a03e5,PK-AZD,Indonesia AirAsia,QZ,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
8a03f3,PK-AZE,Indonesia AirAsia,QZ,A320 214SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
8a03f4,PK-AZF,Indonesia AirAsia,QZ,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
8a0418,PK-AZG,Indonesia AirAsia,QZ,A320 216SL,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
8a0419,PK-AZH,Indonesia AirAsia,QZ,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
8a0441,PK-AZI,Indonesia AirAsia,QZ,A320 216,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
8a0442,PK-AZJ,Indonesia AirAsia,QZ,A320 214,No Flight,7,🔴 Grounded (T+7),0,0,0,0,0,0,0
